"country_id","code","default_name"
"PH","PH-AB","Abra"
"PH","PH-AN","Agusan Del Norte"
"PH","PH-AS","Agusan Del Sur"
"PH","PH-AK","Aklan"
"PH","PH-AL","Albay"
"PH","PH-AQ","Antique"
"PH","PH-AP","Apayao"
"PH","PH-AU","Aurora"
"PH","PH-BS","Basilan"
"PH","PH-BA","Bataan"
"PH","PH-BN","Batanes"
"PH","PH-BT","Batangas"
"PH","PH-BG","Benguet"
"PH","PH-BI","Biliran"
"PH","PH-BO","Bohol"
"PH","PH-BK","Bukidnon"
"PH","PH-BU","Bulacan"
"PH","PH-CG","Cagayan"
"PH","PH-CN","Camarines Norte"
"PH","PH-CS","Camarines Sur"
"PH","PH-CM","Camiguin"
"PH","PH-CP","Capiz"
"PH","PH-CT","Catanduanes"
"PH","PH-CV","Cavite"
"PH","PH-CB","Cebu"
"PH","PH-CL","Compostela Valley"
"PH","PH-NC","North Cotabato"
"PH","PH-DV","Davao Del Norte"
"PH","PH-DR","Davao Del Sur"
"PH","PH-DC","Davao Occidental"
"PH","PH-DO","Davao Oriental"
"PH","PH-DI","Dinagat Islands"
"PH","PH-ES","Eastern Samar"
"PH","PH-GU","Guimaras"
"PH","PH-IF","Ifugao"
"PH","PH-IN","Ilocos Norte"
"PH","PH-IS","Ilocos Sur"
"PH","PH-II","Iloilo"
"PH","PH-IB","Isabela"
"PH","PH-KA","Kalinga"
"PH","PH-LU","La Union"
"PH","PH-LG","Laguna"
"PH","PH-LN","Lanao Del Norte"
"PH","PH-LS","Lanao Del Sur"
"PH","PH-LE","Leyte"
"PH","PH-MG","Maguindanao"
"PH","PH-MQ","Marinduque"
"PH","PH-MB","Masbate"
"PH","PH-MM","Metro Manila"
"PH","PH-MD","Misamis Occidental"
"PH","PH-MN","Misamis Oriental"
"PH","PH-MT","Mountain Province"
"PH","PH-ND","Negros Occidental"
"PH","PH-NR","Negros Oriental"
"PH","PH-NS","Northern Samar"
"PH","PH-NE","Nueva Ecija"
"PH","PH-NV","Nueva Vizcaya"
"PH","PH-MC","Occidental Mindoro"
"PH","PH-MR","Oriental Mindoro"
"PH","PH-PL","Palawan"
"PH","PH-PM","Pampanga"
"PH","PH-PN","Pangasinan"
"PH","PH-QZ","Quezon"
"PH","PH-QR","Quirino"
"PH","PH-RI","Rizal"
"PH","PH-RO","Romblon"
"PH","PH-SM","Western Samar"
"PH","PH-SG","Sarangani"
"PH","PH-SQ","Siquijor"
"PH","PH-SR","Sorsogon"
"PH","PH-SC","South Cotabato"
"PH","PH-SL","Southern Leyte"
"PH","PH-SK","Sultan Kudarat"
"PH","PH-SU","Sulu"
"PH","PH-ST","Surigao Del Norte"
"PH","PH-SS","Surigao Del Sur"
"PH","PH-TR","Tarlac"
"PH","PH-TT","Tawi-Tawi"
"PH","PH-ZM","Zambales"
"PH","PH-ZN","Zamboanga Del Norte"
"PH","PH-ZS","Zamboanga Del Sur"
"PH","PH-ZY","Zamboanga Sibugay"
