region,city,subdistrict,postcode
Metro Manila,Manila City (Tondo),Barangay 1,1012
Metro Manila,Manila City (Tondo),Barangay 2,1012
Metro Manila,Manila City (Tondo),Barangay 3,1012
Metro Manila,Manila City (Tondo),Barangay 4,1012
Metro Manila,Manila City (Tondo),Barangay 5,1012
Metro Manila,Manila City (Tondo),Barangay 6,1012
Metro Manila,Manila City (Tondo),Barangay 7,1012
Metro Manila,Manila City (Tondo),Barangay 8,1012
Metro Manila,Manila City (Tondo),Barangay 9,1012
Metro Manila,Manila City (Tondo),Barangay 10,1012
Metro Manila,Manila City (Tondo),Barangay 11,1012
Metro Manila,Manila City (Tondo),Barangay 12,1012
Metro Manila,Manila City (Tondo),Barangay 13,1012
Metro Manila,Manila City (Tondo),Barangay 14,1012
Metro Manila,Manila City (Tondo),Barangay 15,1012
Metro Manila,Manila City (Tondo),Barangay 16,1012
Metro Manila,Manila City (Tondo),Barangay 17,1012
Metro Manila,Manila City (Tondo),Barangay 18,1012
Metro Manila,Manila City (Tondo),Barangay 19,1012
Metro Manila,Manila City (Tondo),Barangay 20,1012
Metro Manila,Manila City (Tondo),Barangay 25,1012
Metro Manila,Manila City (Tondo),Barangay 26,1012
Metro Manila,Manila City (Tondo),Barangay 28,1012
Metro Manila,Manila City (Tondo),Barangay 29,1012
Metro Manila,Manila City (Tondo),Barangay 30,1012
Metro Manila,Manila City (Tondo),Barangay 31,1012
Metro Manila,Manila City (Tondo),Barangay 32,1012
Metro Manila,Manila City (Tondo),Barangay 33,1012
Metro Manila,Manila City (Tondo),Barangay 34,1012
Metro Manila,Manila City (Tondo),Barangay 35,1012
Metro Manila,Manila City (Tondo),Barangay 36,1012
Metro Manila,Manila City (Tondo),Barangay 37,1012
Metro Manila,Manila City (Tondo),Barangay 38,1012
Metro Manila,Manila City (Tondo),Barangay 39,1012
Metro Manila,Manila City (Tondo),Barangay 41,1012
Metro Manila,Manila City (Tondo),Barangay 42,1012
Metro Manila,Manila City (Tondo),Barangay 43,1012
Metro Manila,Manila City (Tondo),Barangay 44,1012
Metro Manila,Manila City (Tondo),Barangay 45,1012
Metro Manila,Manila City (Tondo),Barangay 46,1012
Metro Manila,Manila City (Tondo),Barangay 47,1012
Metro Manila,Manila City (Tondo),Barangay 48,1012
Metro Manila,Manila City (Tondo),Barangay 49,1012
Metro Manila,Manila City (Tondo),Barangay 50,1012
Metro Manila,Manila City (Tondo),Barangay 51,1012
Metro Manila,Manila City (Tondo),Barangay 52,1012
Metro Manila,Manila City (Tondo),Barangay 53,1012
Metro Manila,Manila City (Tondo),Barangay 54,1012
Metro Manila,Manila City (Tondo),Barangay 55,1012
Metro Manila,Manila City (Tondo),Barangay 56,1012
Metro Manila,Manila City (Tondo),Barangay 57,1012
Metro Manila,Manila City (Tondo),Barangay 58,1012
Metro Manila,Manila City (Tondo),Barangay 59,1012
Metro Manila,Manila City (Tondo),Barangay 60,1012
Metro Manila,Manila City (Tondo),Barangay 61,1012
Metro Manila,Manila City (Tondo),Barangay 62,1012
Metro Manila,Manila City (Tondo),Barangay 63,1012
Metro Manila,Manila City (Tondo),Barangay 64,1012
Metro Manila,Manila City (Tondo),Barangay 65,1012
Metro Manila,Manila City (Tondo),Barangay 66,1012
Metro Manila,Manila City (Tondo),Barangay 67,1012
Metro Manila,Manila City (Tondo),Barangay 68,1012
Metro Manila,Manila City (Tondo),Barangay 69,1012
Metro Manila,Manila City (Tondo),Barangay 70,1012
Metro Manila,Manila City (Tondo),Barangay 71,1012
Metro Manila,Manila City (Tondo),Barangay 72,1012
Metro Manila,Manila City (Tondo),Barangay 73,1012
Metro Manila,Manila City (Tondo),Barangay 74,1012
Metro Manila,Manila City (Tondo),Barangay 75,1012
Metro Manila,Manila City (Tondo),Barangay 76,1012
Metro Manila,Manila City (Tondo),Barangay 77,1012
Metro Manila,Manila City (Tondo),Barangay 78,1012
Metro Manila,Manila City (Tondo),Barangay 79,1012
Metro Manila,Manila City (Tondo),Barangay 80,1012
Metro Manila,Manila City (Tondo),Barangay 81,1012
Metro Manila,Manila City (Tondo),Barangay 82,1012
Metro Manila,Manila City (Tondo),Barangay 83,1012
Metro Manila,Manila City (Tondo),Barangay 84,1012
Metro Manila,Manila City (Tondo),Barangay 85,1012
Metro Manila,Manila City (Tondo),Barangay 86,1012
Metro Manila,Manila City (Tondo),Barangay 87,1012
Metro Manila,Manila City (Tondo),Barangay 88,1012
Metro Manila,Manila City (Tondo),Barangay 89,1012
Metro Manila,Manila City (Tondo),Barangay 90,1012
Metro Manila,Manila City (Tondo),Barangay 91,1012
Metro Manila,Manila City (Tondo),Barangay 92,1012
Metro Manila,Manila City (Tondo),Barangay 93,1012
Metro Manila,Manila City (Tondo),Barangay 94,1012
Metro Manila,Manila City (Tondo),Barangay 95,1012
Metro Manila,Manila City (Tondo),Barangay 96,1012
Metro Manila,Manila City (Tondo),Barangay 97,1012
Metro Manila,Manila City (Tondo),Barangay 98,1012
Metro Manila,Manila City (Tondo),Barangay 99,1012
Metro Manila,Manila City (Tondo),Barangay 100,1012
Metro Manila,Manila City (Tondo),Barangay 101,1012
Metro Manila,Manila City (Tondo),Barangay 102,1012
Metro Manila,Manila City (Tondo),Barangay 103,1012
Metro Manila,Manila City (Tondo),Barangay 104,1012
Metro Manila,Manila City (Tondo),Barangay 105,1012
Metro Manila,Manila City (Tondo),Barangay 106,1012
Metro Manila,Manila City (Tondo),Barangay 107,1012
Metro Manila,Manila City (Tondo),Barangay 108,1012
Metro Manila,Manila City (Tondo),Barangay 109,1012
Metro Manila,Manila City (Tondo),Barangay 110,1012
Metro Manila,Manila City (Tondo),Barangay 111,1012
Metro Manila,Manila City (Tondo),Barangay 112,1012
Metro Manila,Manila City (Tondo),Barangay 116,1012
Metro Manila,Manila City (Tondo),Barangay 117,1012
Metro Manila,Manila City (Tondo),Barangay 118,1012
Metro Manila,Manila City (Tondo),Barangay 119,1012
Metro Manila,Manila City (Tondo),Barangay 120,1012
Metro Manila,Manila City (Tondo),Barangay 121,1012
Metro Manila,Manila City (Tondo),Barangay 122,1012
Metro Manila,Manila City (Tondo),Barangay 123,1012
Metro Manila,Manila City (Tondo),Barangay 124,1012
Metro Manila,Manila City (Tondo),Barangay 125,1012
Metro Manila,Manila City (Tondo),Barangay 126,1012
Metro Manila,Manila City (Tondo),Barangay 127,1012
Metro Manila,Manila City (Tondo),Barangay 128,1012
Metro Manila,Manila City (Tondo),Barangay 129,1012
Metro Manila,Manila City (Tondo),Barangay 130,1012
Metro Manila,Manila City (Tondo),Barangay 131,1012
Metro Manila,Manila City (Tondo),Barangay 132,1012
Metro Manila,Manila City (Tondo),Barangay 133,1012
Metro Manila,Manila City (Tondo),Barangay 134,1012
Metro Manila,Manila City (Tondo),Barangay 135,1012
Metro Manila,Manila City (Tondo),Barangay 136,1012
Metro Manila,Manila City (Tondo),Barangay 137,1012
Metro Manila,Manila City (Tondo),Barangay 138,1012
Metro Manila,Manila City (Tondo),Barangay 139,1012
Metro Manila,Manila City (Tondo),Barangay 140,1012
Metro Manila,Manila City (Tondo),Barangay 141,1012
Metro Manila,Manila City (Tondo),Barangay 142,1012
Metro Manila,Manila City (Tondo),Barangay 143,1012
Metro Manila,Manila City (Tondo),Barangay 144,1012
Metro Manila,Manila City (Tondo),Barangay 145,1012
